GeneID,Name
LOC592086,592086 acetyl-coenzyme A synthetase	K01895 ACSS1_2; acetyl-CoA synthetase [EC:6.2.1.1]
LOC589863,589863 aldose 1-epimerase	K01785 galM; aldose 1-epimerase [EC:5.1.3.3]
LOC575075,575075 phosphoglucomutase-1 isoform X1	K01835 pgm; phosphoglucomutase [EC:5.4.2.2]
LOC763027,763027 phosphoglucomutase-2	K15779 PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]
LOC578064,578064 glucose-6-phosphatase 3	K01084 G6PC; glucose-6-phosphatase [EC:3.1.3.9]
LOC587212,587212 glucose-6-phosphatase 3	K01084 G6PC; glucose-6-phosphatase [EC:3.1.3.9]
LOC588810,588810 ADP-dependent glucokinase	K08074 ADPGK; ADP-dependent glucokinase [EC:2.7.1.147]
LOC594179,594179 ADP-dependent glucokinase	K08074 ADPGK; ADP-dependent glucokinase [EC:2.7.1.147]
LOC100892136,100892136 putative glucose-6-phosphate 1-epimerase	K01792 E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
LOC100891283,"100891283 multiple inositol polyphosphate phosphatase 1	K03103 MINPP1; multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]"
LOC752532,752532 phosphoenolpyruvate carboxykinase	K01596 E4.1.1.32; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
LOC590444,590444 citrate synthase	K01647 CS; citrate synthase [EC:2.3.3.1]
LOC587157,587157 ATP-citrate synthase	K01648 ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]
LOC105443595,105443595 ATP-citrate synthase isoform X1	K01648 ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]
LOC594785,594785 ATP-citrate synthase	K01648 ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]
LOC577783,577783 aconitate hydratase	K01681 ACO; aconitate hydratase [EC:4.2.1.3]
LOC586198,586198 cytoplasmic aconitate hydratase isoform X1	K01681 ACO; aconitate hydratase [EC:4.2.1.3]
LOC581147,581147 isocitrate dehydrogenase [NADP] cytoplasmic isoform X1	K00031 IDH1; isocitrate dehydrogenase [EC:1.1.1.42]
LOC580429,580429 isocitrate dehydrogenase [NADP]	K00031 IDH1; isocitrate dehydrogenase [EC:1.1.1.42]
LOC587700,587700 probable isocitrate dehydrogenase [NAD] subunit alpha	K00030 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
LOC578131,578131 isocitrate dehydrogenase [NAD] subunit gamma	K00030 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
LOC584151,584151 isocitrate dehydrogenase [NAD] subunit beta	K00030 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
LOC587800,587800 2-oxoglutarate dehydrogenase	K00164 OGDH; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
LOC576084,576084 dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	K00658 DLST; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
LOC581456,581456 succinate--CoA ligase [ADP/GDP-forming] subunit alpha	K01899 LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]
LOC581428,581428 succinate--CoA ligase [GDP-forming] subunit beta	K01900 LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]
LOC581673,581673 succinate--CoA ligase [ADP-forming] subunit beta	K01900 LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]
LOC580610,580610 succinate dehydrogenase [ubiquinone] flavoprotein subunit	K00234 SDHA; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
LOC589263,589263 succinate dehydrogenase [ubiquinone] iron-sulfur subunit	K00235 SDHB; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
LOC577495,577495 succinate dehydrogenase cytochrome b560 subunit	K00236 SDHC; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
LOC588082,588082 succinate dehydrogenase [ubiquinone] cytochrome b small subunit B	K00237 SDHD; succinate dehydrogenase (ubiquinone) membrane anchor subunit
LOC577019,"577019 uncharacterized protein LOC577019	K01676 E4.2.1.2A; fumarate hydratase, class I [EC:4.2.1.2]"
LOC580992,"580992 fumarate hydratase	K01679 E4.2.1.2B; fumarate hydratase, class II [EC:4.2.1.2]"
LOC591635,591635 malate dehydrogenase	K00025 MDH1; malate dehydrogenase [EC:1.1.1.37]
LOC587163,587163 malate dehydrogenase	K00026 MDH2; malate dehydrogenase [EC:1.1.1.37]
LOC574782,574782 pyruvate carboxylase	K01958 PC; pyruvate carboxylase [EC:6.4.1.1]
LOC764148,764148 glucose-6-phosphate 1-dehydrogenase X isoform X1	K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
LOC587057,587057 6-phosphogluconolactonase	K01057 PGLS; 6-phosphogluconolactonase [EC:3.1.1.31]
LOC590387,590387 GDH/6PGL endoplasmic bifunctional protein isoform X1	K13937 H6PD; hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]
LOC575941,575941 LOW QUALITY PROTEIN: 6-phosphogluconate dehydrogenase	K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
LOC588015,588015 ribulose-phosphate 3-epimerase	K01783 rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1]
LOC576207,576207 transketolase	K00615 E2.2.1.1; transketolase [EC:2.2.1.1]
LOC587780,587780 transaldolase	K00616 E2.2.1.2; transaldolase [EC:2.2.1.2]
LOC575803,575803 ribose-5-phosphate isomerase	K01807 rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
LOC591843,591843 deoxyribose-phosphate aldolase	K01619 deoC; deoxyribose-phosphate aldolase [EC:4.1.2.4]
LOC100889956,100889956 ribokinase	K00852 rbsK; ribokinase [EC:2.7.1.15]
LOC585120,585120 ribose-phosphate pyrophosphokinase 2	K00948 PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
LOC575038,575038 regucalcin	K01053 gnl; gluconolactonase [EC:3.1.1.17]
LOC754557,754557 regucalcin	K01053 gnl; gluconolactonase [EC:3.1.1.17]
LOC100893966,100893966 probable gluconokinase	K00851 E2.7.1.12; gluconokinase [EC:2.7.1.12]
LOC585085,585085 glycerate kinase	K11529 gck; glycerate 2-kinase [EC:2.7.1.165]
LOC575689,575689 beta-glucuronidase	K01195 uidA; beta-glucuronidase [EC:3.2.1.31]
LOC578573,578573 UDP-glucuronosyltransferase 1-2	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC592958,592958 UDP-glucuronosyltransferase 2C1 isoform X1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC593427,593427 UDP-glucuronosyltransferase 1-6	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC592078,592078 UDP-glucuronosyltransferase 1-6	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC578628,578628 UDP-glucuronosyltransferase 1-8	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC764059,764059 UDP-glucuronosyltransferase 2C1 isoform X1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC755955,755955 UDP-glucuronosyltransferase 2B18-like	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC580284,580284 UDP-glucuronosyltransferase 2C1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC589187,589187 UDP-glucuronosyltransferase 2C1 isoform X1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC100893272,100893272 UDP-glucuronosyltransferase 2A1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC582456,582456 UDP-glucuronosyltransferase 2C1-like	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC100892570,100892570 UDP-glucuronosyltransferase 2C1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC586865,586865 UDP-glucuronosyltransferase 2C1 isoform X2	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC100888948,100888948 UDP-glucuronosyltransferase 2C1-like	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC575220,575220 UDP-glucuronosyltransferase	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC100893231,100893231 UDP-glucuronosyltransferase 2C1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC581792,581792 UDP-glucuronosyltransferase 2C1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC580846,580846 UDP-glucuronosyltransferase 2C1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC582390,582390 UDP-glucuronosyltransferase 1-6-like	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC591823,591823 UDP-glucuronosyltransferase 2B31	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC100889303,100889303 UDP-glucuronosyltransferase 2C1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC578623,578623 UDP-glucuronosyltransferase 2B1 isoform X3	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC580789,580789 UDP-glucuronosyltransferase 1-2	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC575738,575738 UDP-glucuronosyltransferase 2B1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC581741,581741 UDP-glucuronosyltransferase 2C1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC581857,581857 UDP-glucuronosyltransferase 2B1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC585947,585947 UDP-glucuronosyltransferase 2C1-like	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC100892045,100892045 UDP-glucuronosyltransferase 1-2	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC589827,589827 UDP-glucuronosyltransferase 2A1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC591053,591053 UDP-glucuronosyltransferase 1-2	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC586804,586804 UDP-glucuronosyltransferase 2B1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC100888011,100888011 UDP-glucuronosyltransferase 2B1	K00699 UGT; glucuronosyltransferase [EC:2.4.1.17]
LOC583615,583615 probable glucuronokinase 2	K16190 GLCAK; glucuronokinase [EC:2.7.1.43]
LOC579664,579664 UDP-glucose 6-dehydrogenase isoform X1	K00012 UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
LOC576855,576855 UTP--glucose-1-phosphate uridylyltransferase isoform X1	K00963 UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
LOC589657,589657 lambda-crystallin homolog isoform X1	K13247 CRYL1; L-gulonate 3-dehydrogenase [EC:1.1.1.45]
LOC577306,577306 lambda-crystallin homolog	K13247 CRYL1; L-gulonate 3-dehydrogenase [EC:1.1.1.45]
LOC589304,589304 xylulose kinase	K00854 xylB; xylulokinase [EC:2.7.1.17]
LOC590215,590215 xylose isomerase	K01805 xylA; xylose isomerase [EC:5.3.1.5]
LOC576680,576680 aldo-keto reductase family 1 member A1	K00011 AKR1B; aldehyde reductase [EC:1.1.1.21]
LOC579432,579432 1	K00011 AKR1B; aldehyde reductase [EC:1.1.1.21]
LOC587781,587781 aldo-keto reductase family 1 member B1	K00011 AKR1B; aldehyde reductase [EC:1.1.1.21]
LOC591319,591319 L-xylulose reductase-like	K03331 DCXR; L-xylulose reductase [EC:1.1.1.10]
LOC585570,585570 sorbitol dehydrogenase	K00008 SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14]
LOC583996,583996 trans-1	K00078 DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
LOC100891256,100891256 trans-1	K00078 DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
LOC588939,588939 trans-1	K00078 DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
LOC763100,763100 D-ribitol-5-phosphate cytidylyltransferase	K21031 ISPD; D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40]
LOC574815,574815 mannose-6-phosphate isomerase	K01809 manA; mannose-6-phosphate isomerase [EC:5.3.1.8]
LOC588721,588721 phosphomannomutase	K17497 PMM; phosphomannomutase [EC:5.4.2.8]
LOC586118,586118 phosphomannomutase	K17497 PMM; phosphomannomutase [EC:5.4.2.8]
LOC576782,576782 mannose-1-phosphate guanyltransferase alpha-A isoform X1	K00966 GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
LOC575693,575693 mannose-1-phosphate guanyltransferase beta-like	K00966 GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
LOC588885,"588885 GDP-mannose 4	K01711 gmd; GDPmannose 4,6-dehydratase [EC:4.2.1.47]"
LOC585407,585407 GDP-L-fucose synthase	K02377 TSTA3; GDP-L-fucose synthase [EC:1.1.1.271]
LOC757180,757180 fucose-1-phosphate guanylyltransferase	K00976 FPGT; fucose-1-phosphate guanylyltransferase [EC:2.7.7.30]
LOC583165,583165 fucose-1-phosphate guanylyltransferase	K00976 FPGT; fucose-1-phosphate guanylyltransferase [EC:2.7.7.30]
LOC100892878,100892878 L-fucose kinase	K05305 FUK; fucokinase [EC:2.7.1.52]
LOC754396,754396 mitochondrial enolase superfamily member 1	K18334 fucD; L-fuconate dehydratase [EC:4.2.1.68]
LOC579456,"579456 6-phosphofructo-2-kinase/fructose-2	K19028 PFKFB1; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 1 [EC:2.7.1.105 3.1.3.46]"
LOC579403,"579403 fructose-2	K14634 TIGAR; fructose-2,6-bisphosphatase [EC:3.1.3.46]"
LOC100890150,"100890150 uncharacterized protein LOC100890150 isoform X1	K14634 TIGAR; fructose-2,6-bisphosphatase [EC:3.1.3.46]"
LOC593203,"593203 fructose-2	K14634 TIGAR; fructose-2,6-bisphosphatase [EC:3.1.3.46]"
LOC588197,588197 ketohexokinase	K00846 KHK; ketohexokinase [EC:2.7.1.3]
LOC575781,575781 triokinase/FMN cyclase isoform X1	K00863 DAK; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
LOC593554,593554 galactokinase	K00849 galK; galactokinase [EC:2.7.1.6]
LOC585689,585689 galactose-1-phosphate uridylyltransferase	K00965 galT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
LOC593102,593102 UDP-glucose 4-epimerase	K01784 galE; UDP-glucose 4-epimerase [EC:5.1.3.2]
LOC587532,587532 beta-galactosidase	K12309 GLB1; beta-galactosidase [EC:3.2.1.23]
LOC582036,582036 lactase-phlorizin hydrolase-like	K01229 LCT; lactase-phlorizin hydrolase [EC:3.2.1.108 3.2.1.62]
LOC584897,584897 sucrase-isomaltase	K12047 MGAM; maltase-glucoamylase [EC:3.2.1.20 3.2.1.3]
LOC593425,593425 inositol oxygenase	K00469 MIOX; inositol oxygenase [EC:1.13.99.1]
LOC764246,764246 L-gulonolactone oxidase	K00103 GULO; L-gulonolactone oxidase [EC:1.1.3.8]
LOC577380,577380 L-galactose dehydrogenase	K17744 GalDH; L-galactose dehydrogenase [EC:1.1.1.316]
LOC584746,584746 L-galactose dehydrogenase-like	K17744 GalDH; L-galactose dehydrogenase [EC:1.1.1.316]
LOC584333,584333 oxidoreductase ptaE	K00423 E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]
LOC763726,763726 laccase-1-like	K00423 E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]
LOC581216,581216 laccase-1	K00423 E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]
LOC579858,579858 venom phosphodiesterase 2	K01513 ENPP1_3; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]
LOC591232,591232 venom phosphodiesterase 2 isoform X1	K01513 ENPP1_3; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]
LOC754729,754729 LOW QUALITY PROTEIN: beta-D-xylosidase 1	K05349 bglX; beta-glucosidase [EC:3.2.1.21]
LOC578305,578305 glycogen [starch] synthase	K00693 GYS; glycogen synthase [EC:2.4.1.11]
LOC754694,754694 glycogenin-1 isoform X1	K00750 GYG1; glycogenin [EC:2.4.1.186]
LOC100891011,"100891011 1	K00700 GBE1; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
LOC577675,577675 glycogen phosphorylase	K00688 PYG; glycogen phosphorylase [EC:2.4.1.1]
LOC592988,592988 glycogen debranching enzyme isoform X1	K01196 AGL; glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33]
LOC577636,577636 alpha-amylase 2	K01176 AMY; alpha-amylase [EC:3.2.1.1]
LOC587610,587610 alpha-amylase	K01176 AMY; alpha-amylase [EC:3.2.1.1]
LOC576726,576726 alpha-amylase 4N	K01176 AMY; alpha-amylase [EC:3.2.1.1]
LOC576591,576591 alpha-amylase 2-like	K01176 AMY; alpha-amylase [EC:3.2.1.1]
LOC580425,"580425 trehalase	K01194 TREH; alpha,alpha-trehalase [EC:3.2.1.28]"
LOC594823,594823 beta-hexosaminidase subunit alpha isoform X1	K12373 HEXA_B; hexosaminidase [EC:3.2.1.52]
LOC586039,586039 N-acetyl-D-glucosamine kinase	K00884 NAGK; N-acetylglucosamine kinase [EC:2.7.1.59]
LOC581549,581549 phosphoacetylglucosamine mutase	K01836 PGM3; phosphoacetylglucosamine mutase [EC:5.4.2.3]
LOC579319,579319 UDP-N-acetylhexosamine pyrophosphorylase isoform X1	K00972 UAP1; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]
LOC590539,590539 bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase isoform X1	K12409 GNE; bifunctional UDP-N-acetylglucosamine 2-epimerase / N-acetylmannosamine kinase [EC:3.2.1.183 2.7.1.60]
LOC579325,579325 N-acylglucosamine 2-epimerase	K01787 RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]
LOC577884,577884 sialic acid synthase	K05304 NANS; sialic acid synthase [EC:2.5.1.56 2.5.1.57 2.5.1.132]
LOC582852,582852 N-acylneuraminate-9-phosphatase	K01097 NANP; N-acylneuraminate-9-phosphatase [EC:3.1.3.29]
LOC586574,586574 N-acetylneuraminate lyase	K01639 E4.1.3.3; N-acetylneuraminate lyase [EC:4.1.3.3]
LOC105444881,105444881 N-acetylneuraminate lyase-like	K01639 E4.1.3.3; N-acetylneuraminate lyase [EC:4.1.3.3]
LOC586677,586677 cytidine monophosphate-N-acetylneuraminic acid hydroxylase	K08080 CMAH; CMP-N-acetylneuraminate monooxygenase [EC:1.14.18.2]
LOC762388,762388 NADH-cytochrome b5 reductase-like	K00326 E1.6.2.2; cytochrome-b5 reductase [EC:1.6.2.2]
LOC763021,763021 cytochrome b5 reductase 4	K00326 E1.6.2.2; cytochrome-b5 reductase [EC:1.6.2.2]
LOC577808,577808 N-acetylglucosamine-6-phosphate deacetylase-like	K01443 nagA; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
LOC762680,762680 uncharacterized protein LOC762680 isoform X1	K01443 nagA; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
LOC578899,578899 glucosamine 6-phosphate N-acetyltransferase	K00621 GNPNAT1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]
LOC585301,585301 glucosamine-6-phosphate isomerase 2	K02564 nagB; glucosamine-6-phosphate deaminase [EC:3.5.99.6]
LOC585886,585886 glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 isoform X1	K00820 glmS; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
LOC753648,753648 LOW QUALITY PROTEIN: UDP-glucuronic acid decarboxylase 1	K08678 UXS1; UDP-glucuronate decarboxylase [EC:4.1.1.35]
LOC590371,590371 acetyl-CoA carboxylase isoform X1	K11262 ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]
LOC587592,587592 acylphosphatase-1	K01512 acyP; acylphosphatase [EC:3.6.1.7]
LOC591812,591812 probable D-lactate dehydrogenase	K00102 LDHD; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
LOC577630,577630 lactoylglutathione lyase	K01759 GLO1; lactoylglutathione lyase [EC:4.4.1.5]
LOC577572,577572 lactoylglutathione lyase	K01759 GLO1; lactoylglutathione lyase [EC:4.4.1.5]
LOC578596,578596 hydroxyacylglutathione hydrolase	K01069 gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
LOC588349,588349 glyoxylate reductase/hydroxypyruvate reductase	K00049 GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
LOC105438914,105438914 glyoxylate reductase/hydroxypyruvate reductase-like	K00049 GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
LOC575178,575178 NADP-dependent malic enzyme isoform X3	K00029 E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
LOC763037,763037 acetyl-CoA acetyltransferase	K00626 ACAT; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
LOC584928,584928 acetyl-CoA acetyltransferase	K00626 ACAT; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
LOC576505,576505 methylmalonyl-CoA epimerase	K05606 MCEE; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]
LOC582365,582365 propionyl-CoA carboxylase alpha chain	K01965 PCCA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]
LOC592281,592281 propionyl-CoA carboxylase beta chain	K01966 PCCB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]
LOC576452,576452 methylmalonyl-CoA mutase	K01847 MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]
LOC594782,594782 hydroxyacid oxidase 1	K11517 HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
LOC585244,585244 hydroxyacid oxidase 1	K11517 HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
LOC586372,586372 hydroxyacid oxidase 1	K11517 HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
LOC590153,590153 hydroxyacid oxidase 1	K11517 HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
LOC578272,578272 hydroxyacid oxidase 2	K11517 HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
LOC575110,575110 hydroxyacid oxidase 1 isoform X1	K11517 HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
LOC752067,752067 hydroxyacid oxidase 1	K11517 HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
LOC584105,584105 hydroxyacid oxidase 1	K11517 HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
LOC590358,590358 hydroxyacid oxidase 1	K11517 HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
