WHL,SPU,GeneID,Name,Annotation
WHL22.120874.3,SPU_005195,LOC105439091,Sp-Slc22a3,Organic cation transporter 3 (Extraneuronal monoamine transporter) (EMT) (Solute carrier family 22 member 3)
WHL22.497557.0,SPU_027463,LOC591325,Sp-Slc22a13L,"solute carrier family 22 (organic anion transporter), member 13-like; organic-cation transporter like 3"
WHL22.612895.0,SPU_009371,LOC582118,Sp-Slc22a5,"solute carrier family 22 (organic cation transporter), member 5"
WHL22.120878.0,SPU_005196,LOC100890072,Sp-Slc22a3_1,Organic cation transporter 3 (Extraneuronal monoamine transporter) (EMT) (Solute carrier family 22 member 3)
WHL22.612895.1,SPU_009371,LOC582118,Sp-Slc22a5,"solute carrier family 22 (organic cation transporter), member 5"
WHL22.497563.0,SPU_017736,LOC591348,Sp-Slc22a13,organic cation transporter like 3 
WHL22.414995.0,SPU_005806,LOC115925503,Sp-Slco3a1,Solute carrier organic anion transporter family member 3A1 (Solute carrier family 21 member 11) (Sodium-independent organic anion transporter D) (Organic anion transporting polypeptide D) (OATP-D) (Organic anion transporter polypeptide related protein 3) (OATP-RP3) (OATPRP3) (PGE1 transporter)
WHL22.133999.0,SPU_011784,LOC583692,Sp-Slco2a1,Solute carrier organic anion transporter family member 2A1 (Solute carrier family 21 member 2) (Prostaglandin transporter) (PGT)
WHL22.501657.0,SPU_014024,LOC100891092,Sp-Slco4a1_5,"Solute carrier organic anion transporter family, member 4a1"
WHL22.501618.0,SPU_014024,LOC100891092,Sp-Slco4a1_5,"Solute carrier organic anion transporter family, member 4a1"
WHL22.501577.2,SPU_023364,LOC582078,Sp-Slco4a1_15,organic anion transporter
WHL22.507544.1,SPU_000820,LOC763758,Sp-Slcoa4a1,"Solute carrier organic anion transporter family, member 4a1"
